policy,seed count,impressed,min_non_zero_prob,min_prob,avg_prob,zero_prob_count,consistency,corr,consistency2,consistency3,corr2,corr3,corr4,partition1_sp,partition2_sp,partition_diff,partition1_sp_min,partition2_sp_min,partition_min_diff,partition1_prox,partition2_prox,partition_prox_diff,partition1_prox_min,partition2_prox_min,partition_prox_min_diff,num_nodes_closer_to_T,saved_fraction,avg_sp_at_distance,avg_prox_at_distance,avg_vul_at_distance,std_dev_sp_at_distance,improved_sp_at_distance,avg_proximity_of_T,gini_coef,gini_coeff_list
pagerank,5,43794.36,0.01,0.0,0.3598532442664405,4895,0.7303728675253145,-0.8292068800282832,0.6763300175354874,0.0536774543480348,0.4912140301542729,0.4602258022391951,0.0154403169837435,0.3616870851729482,0.3581246710718671,-0.003562414101081,0.0,0.0,0.0,3.451536504780562,3.4516402549558505,0.0001037501752882,0.0,0.0,0.0,4014.0,0.1454382183487506,"[0.895458452722063, 0.5193814195037507, 0.256337513061651, 0.3532657351304563, 0.4925937197399364]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.895458452722063, 0.5193814195037507, 0.256337513061651, 0.3532657351304563, 0.4925937197399364]","[0.17150063820346614, 0.308384859409172, 0.24561103081280578, 0.27365976087358695, 0.3031167620605813]","[0.594727793696275, 0.3471552221581073, 0.10784072249589492, 0.04008161246444912, 0.01960022133075114]",1.8,0.462343978035235,"[0.08649081692216318, 0.3423574894617082, 0.5209182553054991, 0.4428688072863127, 0.3523941436344194]"
cmia-o,5,31039.79,0.01,0.0,0.5462881323725023,1725,0.7169059580530832,-0.6515205776125811,0.6921023489954397,0.0907386680253747,0.3206216936062788,0.6790714540205325,-0.1284197404972236,0.5481342650799684,0.5446017776738201,-0.0035324874061483,0.0,0.0,0.0,3.072512499634513,3.078211800479504,0.0056993008449905,1.0,0.0,-1.0,1901.0,0.3943188519142503,"[0.7483122594832325, 0.605544736010117, 0.5196952261967386, 0.516776396751169, 0.5375389328567781]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.7483122594832325, 0.605544736010117, 0.5196952261967386, 0.516776396751169, 0.5375389328567781]","[0.1428845969533333, 0.2271569019767327, 0.26988817376767665, 0.2913769342426168, 0.3143966569959631]","[0.7191698735568994, 0.474645589630098, 0.2809672540768017, 0.16002707359094268, 0.06066377329588971]",1.0,0.2838838213604651,"[0.10881853705805025, 0.2124650434646722, 0.29924623029632047, 0.3239195931244865, 0.33352106117882085]"
biog,5,30951.97,0.01,0.0,0.5475718065279991,1764,0.719428420156759,-0.6548316125494277,0.6947130339292611,0.0941179632476474,0.334598332132044,0.6826435969832461,-0.1160054580251123,0.5497517616443964,0.5455520145020759,-0.0041997471423205,0.0,0.0,0.0,3.087219671939417,3.092158353312672,0.0049386813732548,0.0,0.0,0.0,1526.0,0.396032488457052,"[0.7514702154626108, 0.5988389465687517, 0.5225935687928307, 0.5330088816385715, 0.5085519412381951]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.7514702154626108, 0.5988389465687517, 0.5225935687928307, 0.5330088816385715, 0.5085519412381951]","[0.14543451154512568, 0.22686386582289791, 0.2653371872784532, 0.293051481667921, 0.3211574059728918]","[0.7246831432192649, 0.4750202582932388, 0.284328545071165, 0.16779892453628178, 0.05089979013641133]",1.0,0.2811404884588414,"[0.11062897035585179, 0.21518976317598335, 0.2923202334172793, 0.31476900240445044, 0.361875122396069]"
fair-cmia-o,5,33562.24,0.010000000000000009,0.0,0.5094172160261938,1764,0.729570791377454,-0.6803900527790454,0.7028484677088864,0.07991467905771799,0.41299533485157663,0.6514976646654906,-0.03020170120406968,0.5104970614894302,0.5084863458277293,-0.002010715661700857,0.0,0.0,0.0,3.058419344463612,3.062481726214841,0.004062381751229083,0.0,0.0,0.0,2707.0,0.34509814481575196,"[0.7724025559105431, 0.5048816221284576, 0.49050063413657297, 0.5248091603053435, 0.5032495511669659]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.7724025559105431, 0.5048816221284576, 0.49050063413657297, 0.5248091603053435, 0.5032495511669659]","[0.19524371006346378, 0.24055422714566874, 0.24372929254082729, 0.29293819882089606, 0.3246780432976936]","[0.7090862619808307, 0.40160337552742614, 0.24878345904812763, 0.1339162229777407, 0.03876891510643754]",1.6,0.296806860244667,"[0.14228127559665585, 0.2734984729002036, 0.28591453112191073, 0.3196124012343217, 0.37018934876711884]"
myopic_maximin,5,43765.61,0.010000000000000009,0.0,0.3602734860333563,3868,0.7223220849761008,-0.7944027246329871,0.670982831590563,0.10955768173352698,0.41727867928947776,0.637467682140542,0.0871833055235844,0.36071342943188794,0.3599388924624291,-0.0007745369694588389,0.0,0.0,0.0,3.57445688722552,3.5728612361850183,-0.0015956510405015223,0.0,0.0,0.0,642.0,0.14599921869725385,"[0.8094907407407407, 0.47551560379918595, 0.29810764549258273, 0.3317238009321906, 0.5058015736415049]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.8094907407407407, 0.47551560379918595, 0.29810764549258273, 0.3317238009321906, 0.5058015736415049]","[0.1431708378237517, 0.2844902582087482, 0.27871186304201706, 0.27905601193877716, 0.3002778247488168]","[0.8068518518518518, 0.4116553595658073, 0.1381133510840624, 0.034698917456021654, 0.01544873371035161]",2.0,0.46569912226059046,"[0.09677461633781329, 0.3449490366923078, 0.5189234540487393, 0.47624975329396035, 0.34019014515310037]"
protect,5,29954.01,0.010000000000000009,0.0,0.5621590925701256,22,0.7406746191555964,-0.6422976462202118,0.7199350545014098,0.18755798169224158,0.3956137208321139,0.694421857757053,0.04898050411076886,0.5629385105698663,0.5615440617507749,-0.001394448819091454,0.0,0.0,0.0,2.9255284933189087,2.92479971931466,-0.0007287740042487556,0.0,0.0,0.0,2867.0,0.4155057374237382,"[0.7538325471698113, 0.5545958171465064, 0.5314606403466539, 0.6028827180140038, 0.7266520307354556]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.7538325471698113, 0.5545958171465064, 0.5314606403466539, 0.6028827180140038, 0.7266520307354556]","[0.16856163218936304, 0.23994037908614677, 0.24751687500025785, 0.24382675130836787, 0.21123568468112525]","[0.6992393867924528, 0.44270129317226325, 0.287208413577275, 0.16284213876511774, 0.0874423710208562]",1.8,0.25273008469512814,"[0.12643662236848902, 0.24893568352746548, 0.26836287812217563, 0.23126626189420912, 0.15933336271662632]"
naive_protect,5,32411.33,0.010000000000000009,0.0,0.5262401882683114,1834,0.721003603016535,-0.681646268685378,0.6928506926265319,0.0882478113014672,0.33281581463715365,0.6920687394229311,-0.09750056207796468,0.5281576562088829,0.524476638793053,-0.0036810174158299347,0.0,0.0,0.0,3.1070144147831935,3.112829659084264,0.00581524430107061,0.0,0.0,0.0,1433.0,0.36755591563647494,"[0.7300925313945804, 0.5770251081133414, 0.4992728722873949, 0.5086754063352711, 0.5231761006289308]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.7300925313945804, 0.5770251081133414, 0.4992728722873949, 0.5086754063352711, 0.5231761006289308]","[0.14704219070185615, 0.22153160715343062, 0.26966038324265124, 0.2917696019842324, 0.3190447453572813]","[0.7023793787177792, 0.452952301039179, 0.26464125486025725, 0.15211531617036422, 0.04332365747460086]",1.0,0.29440651287298425,"[0.11482051342160902, 0.21758364594123614, 0.3114484602207479, 0.329937135468675, 0.3488863487267462]"
degree,10,18510.33,0.010000000000000009,0.0,0.7294325639863769,9,0.7745189365483112,-0.45715978480217456,0.7722889879480254,0.16187519159646913,0.35839150601135633,0.7143077044494924,-0.06990746598317639,0.7301467793339376,0.7289316414244781,-0.001215137909459485,0.0,0.0,0.0,2.6606824361860766,2.661627974972224,0.0009455387861474485,0.0,0.0,0.0,7324.0,0.6388069015336091,"[0.8379478902467142, 0.7337978797492842, 0.7060052891396333, 0.7279803596781828, 0.7970643642072214]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.8379478902467142, 0.7337978797492842, 0.7060052891396333, 0.7279803596781828, 0.7970643642072214]","[0.13964226522548936, 0.19789126646670963, 0.2262056507824946, 0.20525612938181848, 0.15292547697731793]","[0.7954231035277842, 0.5911131316257835, 0.4077224964739069, 0.2608719829626123, 0.17646781789638932]",1.0,0.15783939963524263,"[0.09208125421210758, 0.14939960644452113, 0.17602535780011636, 0.1563268001763639, 0.10841099892367287]"
pagerank,10,31769.01,0.010000000000000009,0.0,0.5356290471109293,1417,0.7130380676613165,-0.679474990869918,0.6870052120886072,0.07941159793439467,0.43253987138569855,0.5009858509751819,-0.16571385141520223,0.537132539984211,0.5342822057189638,-0.0028503342652471675,0.0,0.0,0.0,2.895120025730242,2.895970995848196,0.0008509701179542084,0.0,0.0,0.0,7392.0,0.3800895415095379,"[0.8196511627906977, 0.5798618436406068, 0.4998199436464848, 0.49681988369314106, 0.5179447035309793]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.8196511627906977, 0.5798618436406068, 0.4998199436464848, 0.49681988369314106, 0.5179447035309793]","[0.183647363613892, 0.2575526492658518, 0.26229136123458935, 0.302383827986532, 0.3194647103194692]","[0.6426431127012523, 0.41333488914819133, 0.25245309600714727, 0.1336899545925277, 0.050106595602931375]",1.7,0.29753348356427706,"[0.12274035261202049, 0.2557755446637373, 0.3022414102151065, 0.35033332274956114, 0.3521726370829619]"
cmia-o,10,23424.24,0.010000000000000009,0.0,0.6576054258693523,87,0.7487751333377368,-0.5616986744121214,0.7358298202022769,0.16931292781521767,0.2887150917808099,0.7441427144075012,-0.09185130342085761,0.6582520978918746,0.6571510437986082,-0.0011010540932663293,0.0,0.0,0.0,2.8091868658811148,2.8111221565990294,0.0019352907179146506,0.0,0.0,0.0,3838.0,0.5429215024896707,"[0.8246716232961586, 0.687755463109071, 0.6148345831495369, 0.653455629015737, 0.7889884918231375]","[1.0, 2.0, 3.0, 4.0, 5.0]","[0.8246716232961586, 0.687755463109071, 0.6148345831495369, 0.653455629015737, 0.7889884918231375]","[0.12856749576295604, 0.2121307992556566, 0.2526621496665904, 0.22363383581930107, 0.16183272499426696]","[0.787128252788104, 0.5449227753072251, 0.3503232717877623, 0.23303473321538318, 0.15180496668685645]",1.0,0.2016048875020107,"[0.0871073533770684, 0.1723234962426004, 0.23371298051727937, 0.19464024001642266, 0.11440470052616626]"
